id,author,author_ids,document_title,source,classifications,keywords,doi,publication_year
oai:zbmath.org:6374359,"Ren, Qingchun; Sam, Steven V.; Sturmfels, Bernd",ren.qingchun;sam.steven-v;sturmfels.bernd,Tropicalization of classical moduli spaces,"Math. Comput. Sci. 8, No. 2, 119-145 (2014).",14T05;14K10;52C35,tropical geometry;classical projective geometry;moduli spaces,10.1007/s11786-014-0185-x,2014
oai:zbmath.org:5911532,"Cueto, María Angélica; Matsen, Frederick A.",cueto.maria-angelica;matsen.frederick-a-iv,Polyhedral geometry of phylogenetic rogue taxa,"Bull. Math. Biol. 73, No. 6, 1202-1226 (2011).",92D15;52B99;05C90;90C90,minimum evolution;distance-based phylogenetic inference;linear programming;polytope;normal fan,10.1007/s11538-010-9556-x,2011
oai:zbmath.org:5919612,"Chan, Melody; Jensen, Anders; Rubei, Elena",chan.melody;jensen.anders-nedergaard;rubei.elena,The \(4\times 4\) minors of a \(5\times n\) matrix are a tropical basis,"Linear Algebra Appl. 435, No. 7, 1598-1611 (2011).",14T05,Kapranov rank;tropical rank;tropical bases,10.1016/j.laa.2010.09.032,2011
oai:zbmath.org:5919625,"Brodsky, Sarah B.; Sturmfels, Bernd",brodsky.sarah-b;sturmfels.bernd,Tropical quadrics through three points,"Linear Algebra Appl. 435, No. 7, 1778-1785 (2011).",14T05,tropical curves;plane quadrics;Hilbert scheme;tropical Grassmannian,10.1016/j.laa.2010.05.004,2011
oai:zbmath.org:5141728,"Bogart, Tristram; Jensen, Anders N.; Thomas, Rekha R.",bogart.tristram;jensen.anders-nedergaard;thomas.rekha-r,The circuit ideal of a vector configuration,"J. Algebra 309, No. 2, 518-542 (2007).",13P10;05E99,toric ideal;circuit ideal;initial ideal;decomposition;associated primes;fans,10.1016/j.jalgebra.2006.07.025,2007
oai:zbmath.org:6116867,"Tillmann, Stephan",tillmann.stephan,Degenerations of ideal hyperbolic triangulations,"Math. Z. 272, No. 3-4, 793-823 (2012).",57M25;57N10,3-manifold;ideal triangulation;parameter space;character variety;detected surface;spun-normal surface;measured foliation;R-tree,10.1007/s00209-011-0958-8,2012
oai:zbmath.org:6142113,"Aroca, Fuensanta; Gómez-Morales, Mirna; Shabbir, Khurram",aroca.fuensanta;gomez-morales.mirna;shabbir.khurram,Torical modification of Newton non-degenerate ideals,"Rev. R. Acad. Cienc. Exactas Fís. Nat., Ser. A Mat., RACSAM 107, No. 1, 221-239 (2013).",14J17;14M25,Newton non-degenerate;Tropical Geometry;Singularity,10.1007/s13398-012-0100-8,2013
oai:zbmath.org:6143064,"Rincón, Felipe",rincon.felipe,Computing tropical linear spaces,"J. Symb. Comput. 51, 86-98 (2013).",14T05,Bergman fan;tropical linear space;cyclic Bergman fan;nested set fan;fine subdivision;cyclic flat;A-discriminant;Newton polytope,10.1016/j.jsc.2012.03.008,2013
oai:zbmath.org:6146785,"Cueto, María Angélica; Lin, Shaowei",cueto.maria-angelica;lin.shaowei,Tropical secant graphs of monomial curves,"Beitr. Algebra Geom. 54, No. 1, 383-418 (2013).",14Q05;14T05;14M25,monomial curves;secant varieties;resolution graphs;tropical implicitization;Newton polytope,10.1007/s13366-012-0091-9,2013
oai:zbmath.org:6055230,"Vinzant, Cynthia",vinzant.cynthia,Real radical initial ideals,"J. Algebra 352, No. 1, 392-407 (2012).",13P10;14P10;14T05,real algebraic geometry;tropical geometry;initial ideals;semialgebraic sets;preorders;quadratic modules,10.1016/j.jalgebra.2011.11.028,2012
oai:zbmath.org:5970575,"Rincón, Felipe",rincon.felipe,Isotropical linear spaces and valuated Delta-matroids,"J. Comb. Theory, Ser. A 119, No. 1, 14-32 (2012).",05B20;52B40,tropical linear space;isotropic subspace;Delta matroid;Coxeter matroid;valuated matroid;spinor variety;Wick relations;matroid polytope;tropical basis,10.1016/j.jcta.2011.08.001,2012
oai:zbmath.org:6194694,"Cartwright, Dustin; Payne, Sam",cartwright.dustin-a;payne.sam,Connectivity of tropicalizations,"Math. Res. Lett. 19, No. 5, 1089-1095 (2012).",14T05,,10.4310/MRL.2012.v19.n5.a10,2012
oai:zbmath.org:6203098,"Hampton, Marshall; Jensen, Anders",hampton.marshall;jensen.anders-nedergaard,Finiteness of spatial central configurations in the five-body problem,"Celest. Mech. Dyn. Astron. 109, No. 4, 321-332 (2011).",70F10,central configurations;\(n\)-body problem;tropical geometry;polyhedral Fan;Albouy-Chenciner equations,10.1007/s10569-010-9328-9,2011
oai:zbmath.org:5203512,"Bogart, T.; Jensen, A. N.; Speyer, D.; Sturmfels, B.; Thomas, R. R.",bogart.tristram;jensen.anders-nedergaard;speyer.david-e;sturmfels.bernd;thomas.rekha-r,Computing tropical varieties,"J. Symb. Comput. 42, No. 1-2, 54-73 (2007).",14Q99;14P99;68W30,tropical geometry;tropical variety;tropical basis;Gröbner fan;Bergman fan,10.1016/j.jsc.2006.02.004,2007
oai:zbmath.org:5903423,"Adrovic, Danko; Verschelde, Jan",adrovic.danko;verschelde.jan,Tropical algebraic geometry in Maple: a preprocessing algorithm for finding common factors for multivariate polynomials with approximate coefficients,"J. Symb. Comput. 46, No. 7, 755-772 (2011).",14T05;14Q05;68W30,amoeba;common factor;\texttt{Maple};multivariate polynomial;Newton polygon;Puiseux series;tropical algebraic geometry;tropism,10.1016/j.jsc.2010.08.011,2011
oai:zbmath.org:5817624,"Cueto, María Angélica; Tobis, Enrique A.; Yu, Josephine",cueto.maria-angelica;tobis.enrique-a;yu.josephine,An implicitization challenge for binary factor analysis,"J. Symb. Comput. 45, No. 12, 1296-1315 (2010).",14M25;14Q15;14Q99;52B20,factor analysis;tropical geometry;Hadamard products;Newton polytope,10.1016/j.jsc.2010.06.011,2010
oai:zbmath.org:5578123,"Morita, Tomohito",morita.tomohito,Hilbert schemes of finite abelian group orbits and Gröbner fans,"Hokkaido Math. J. 38, No. 2, 249-265 (2009).",13P10;14L30;14E15;14M25,Gröbner fan;G-Hilbert scheme;toric singularity,10.14492/hokmj/1248190077,2009
oai:zbmath.org:5601836,"Vasiliev, N. N.; Pavlov, D. A.",,Enumeration of finite monomial orderings and combinatorics of universal Gröbner bases,"Program. Comput. Softw. 35, No. 2, 79-89 (2009); translation from Programmirovanie 35, No. 2 (2008).",68W30;13P10,,10.1134/S0361768809020030,2009
oai:zbmath.org:6357948,"Cueto, Maria Angelica; Häbich, Mathias; Werner, Annette",cueto.maria-angelica;habich.mathias;werner.annette,Faithful tropicalization of the Grassmannian of planes,"Math. Ann. 360, No. 1-2, 391-437 (2014).",14T05;14M15;14G22;32C18,tropical geometry;Berkovich spaces;Grassmannians;tropical Grassmannians;analytification of Grassmannians;space of phylogenetic trees,10.1007/s00208-014-1037-3,2014
oai:zbmath.org:6368612,"Herrmann, Sven; Joswig, Michael; Speyer, David E",herrmann.sven;joswig.michael;speyer.david-e,"Dressians, tropical Grassmannians, and their rays","Forum Math. 26, No. 6, 1853-1881 (2014).",14T05;14M15;52B40,Dressian;tropical Grassmannian;tropical plane;fan;ray,10.1515/forum-2012-0030,2014
oai:zbmath.org:5305274,"Jensen, Anders Nedergaard; Markwig, Hannah; Markwig, Thomas",jensen.anders-nedergaard;markwig.hannah;markwig.thomas,An algorithm for lifting points in a tropical variety,"Collect. Math. 59, No. 2, 129-165 (2008).",13P10;51M20;16W60;12J25;14Q99;14R99,tropical geometry;Puiseux series;Puiseux parametrization,10.1007/BF03191365,2008
oai:zbmath.org:5222077,"Craw, Alastair; Maclagan, Diane; Thomas, Rekha R.",craw.alastair;maclagan.diane;thomas.rekha-r,Moduli of McKay quiver representations. II: Gröbner basis techniques,"J. Algebra 316, No. 2, 514-535 (2007).",14M25;13P10;16G20,McKay quiver;Gröbner bases;\(G\)-Hilbert scheme,10.1016/j.jalgebra.2007.02.014,2007
oai:zbmath.org:5284648,,,"Software for algebraic geometry. Papers of a workshop, Minneapolis, MN, USA, October 23--27, 2006","The IMA Volumes in Mathematics and its Applications 148. New York, NY: Springer (ISBN 978-0-387-78132-7/hbk). ix, 172~p. (2008).",68-06;68W30;14-04;00B25,,10.1007/978-0-387-78133-4,2008
oai:zbmath.org:5129800,"Bahloul, Rouchdi; Takayama, Nobuki",bahloul.rouchdi;takayama.nobuki,Local Gröbner fans,"C. R., Math., Acad. Sci. Paris 344, No. 3, 147-152 (2007).",13P10;32S10;13F25;68W30,,10.1016/j.crma.2006.11.030,2007
oai:zbmath.org:5768656,"De Loera, Jesús A.; Rambau, Jörg; Santos, Francisco",de-loera.jesus-a;rambau.jorg;santos.francisco,Triangulations. Structures for algorithms and applications,"Algorithms and Computation in Mathematics 25. Berlin: Springer (ISBN 978-3-642-12970-4/hbk; 978-3-642-12971-1/ebook). xiii, 535~p. (2010).",52-02;52B05;52B11;52B45;52B55;68R05,triangulations;polyhedral regions;point set configurations;volume;secondary polytope,10.1007/978-3-642-12971-1,2010
oai:zbmath.org:5785477,,,"Mathematical software -- ICMS 2006. Second international congress on mathematical software, Castro Urdiales, Spain, September 1--3, 2006. Proceedings","Lecture Notes in Computer Science 4151. Berlin: Springer (ISBN 978-3-540-38084-9/pbk). xvii, 452~p. (2006).",68-06;65-06;00B25,,10.1007/11832225,2006
oai:zbmath.org:5795535,"Hampton, Marshall",hampton.marshall,Finiteness of kite relative equilibria in the five-vortex and five-body problems,"Qual. Theory Dyn. Syst. 8, No. 2, 349-356 (2010).",70F10;70F15;37N05;14T05,celestial mechanics;\(n\)-body problem;relative equilibria;vortices;tropical geometry,10.1007/s12346-010-0016-7,2010
oai:zbmath.org:6450893,"Brouwer, Andries E.; Draisma, Jan; Frenk, Bart J.",brouwer.andries-e;draisma.jan;frenk.bart-j,Lossy gossip and composition of metrics,"Discrete Comput. Geom. 53, No. 4, 890-913 (2015).",15A80;52B70;20M99;14T05,min-plus matrix multiplication;finite metrics;gossip;tropical algebraic groups,10.1007/s00454-015-9666-1,2015
oai:zbmath.org:6266162,"Jensen, Anders; Yu, Josephine",jensen.anders-nedergaard;yu.josephine,Computing tropical resultants,"J. Algebra 387, 287-319 (2013).",14T05;14M25,tropical resultant;Cayley configuration;resultant polytope,10.1016/j.jalgebra.2013.03.031,2013
oai:zbmath.org:6502940,"Hampton, Marshall; Jensen, Anders Nedergaard",hampton.marshall;jensen.anders-nedergaard,Finiteness of relative equilibria in the planar generalized \(N\)-body problem with fixed subconfigurations,"J. Geom. Mech. 7, No. 1, 35-42 (2015).",70F10;70F15;70G55;70K42;14M25,\(N\)-body problem;relative equilibria;vortices;celestial mechanics;central configurations,10.3934/jgm.2015.7.35,2015
oai:zbmath.org:6399415,"Hartshorne, Robin; Lella, Paolo; Schlesinger, Enrico",hartshorne.robin;lella.paolo;schlesinger.enrico,Smooth curves specialize to extremal curves,"Math. Ann. 361, No. 1-2, 459-476 (2015).",14H50;14H10,Hilbert schemes;locally Cohen-Macaulay curves;extremal curves,10.1007/s00208-014-1065-z,2015
oai:zbmath.org:7347315,"Görlach, Paul; Ren, Yue; Sommars, Jeff",,Detecting tropical defects of polynomial equations,"J. Algebr. Comb. 53, No. 1, 31-47 (2021).",14T10;13P10;68W30,tropical geometry;tropical basis;computer algebra,10.1007/s10801-019-00916-4,2021
oai:zbmath.org:7348010,"Perry, John",perry.john,A dynamic F4 algorithm to compute Gröbner bases,"Appl. Algebra Eng. Commun. Comput. 31, No. 5-6, 411-434 (2020).",13P10;68W30,Gröbner bases;dynamic algorithm;term ordering;F4 algorithm;Macaulay matrix,10.1007/s00200-020-00450-y,2020
